Name,Id,Price,Menu,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Ingredient7,Ingredient8
딸기 딸기 파르페,200,3200,파르페의 정석,106,107,100,111,107,100,106,100
돌아올때 메론 파르페,201,3600,노란 부분이 좋아,106,107,102,101,106,101,107,101
나한테 바나나 파르페,202,2800,냉장보관하면 오래간대,106,107,110,111,102,107,105,102
블루밍 베리 파르페,203,2600,건강에도 좋고 맛도 좋은 블루베리,104,107,103,106,111,103,107,103
바사삭 비스킷 파르페,204,2900,바삭바삭바삭바삭,104,105,102,104,107,108,110,104
초코와 함께 비스킷 파르페,205,3400,너 하나 나 하나,106,107,105,110,108,105,107,105
촉촉 달달 스펀지 케익 파르페,206,3800,조각케이크 한 덩이가 통째로,106,100,107,106,109,107,101,106
크리미한 크림 파르페,207,2300,400번 저어 만든,111,107,102,111,107,100,104,107
I Scream 파르페,208,3800,녹기 전에 먹어야해,103,108,106,111,108,104,105,108
형형 색색 젤리 파르페,209,3100,초록색 양보할게,109,101,107,109,103,101,102,109
탱글팅글 푸딩 파르페,210,4000,푸르딩딩,111,110,106,100,107,110,100,110
맛있어서 놀라 그래놀라 파르페,211,2900,너무 맛있어서 놀라,109,106,111,107,100,104,102,111
